Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
ΚΑΝ-2509258001;"ΤΑΦ ΘΗΛ.ULTRALINE-16 Rp 1/2"" 74122000";5,2068;TEMAXIA;Κανονικός
ΚΑΝ-2509257002;ΤΑΦ ULTRALINE-20 74122000;5,5775;TEMAXIA;Κανονικός
ΚΑΝ-2509257001;ΤΑΦ ULTRALINE-16 74122000;3,7398;TEMAXIA;Κανονικός
ΚΑΝ-2509070003;"ΓΩΝΙΑ ΑΡΣ.90ο ULTRALINE-20 Rp 3/4"" 74122000";6,2062;TEMAXIA;Κανονικός
ΚΑΝ-2509070002;"ΓΩΝΙΑ ΑΡΣ.90ο ULTRALINE-20 Rp 1/2"" 74122000";5,0939;TEMAXIA;Κανονικός
ΚΑΝ-2509070001;"ΓΩΝΙΑ ΑΡΣ.90ο ULTRALINE-16 Rp 1/2"" 74122000";3,3852;TEMAXIA;Κανονικός
ΚΑΝ-2509069007;"ΓΩΝΙΑ ΘΗΛ.90ο ULTRALINE-20 Rp 3/4"" 74122000";4,6748;TEMAXIA;Κανονικός
ΚΑΝ-2509069006;"ΓΩΝΙΑ ΘΗΛ.90ο ULTRALINE-20 Rp 1/2"" 74122000";3,8366;TEMAXIA;Κανονικός
ΚΑΝ-2509069003;"ΓΩΝΙΑ ΘΗΛ.90ο ULTRALINE-16 Rp 3/4"" 74122000";4,0784;TEMAXIA;Κανονικός
ΚΑΝ-2509069002;"ΓΩΝΙΑ ΘΗΛ.90ο ULTRALINE-16 Rp 1/2"" 74122000";3,353;TEMAXIA;Κανονικός
ΚΑΝ-2509046008;ΣΥΣΤΟΛΕΣ 20/16 ULTRA LINE 74122000;2,7776;Τεμάχια;Κανονικός
ΚΑΝ-2509046001;ΜΟΥΦΟΜΑΣΤΟΣ  ULTRALINE-16/15 74122000;4,562;TEMAXIA;Κανονικός
ΚΑΝ-2509045003;"ΡΑΚΟΡ ΑΡΣ.ULTRALINE-20 R 3/4"" 74122000";3,9333;TEMAXIA;Κανονικός
ΚΑΝ-2509045002;"ΡΑΚΟΡ ΑΡΣ.ULTRALINE-20 R 1/2"" 74122000";3,4174;TEMAXIA;Κανονικός
ΚΑΝ-2509045001;"ΡΑΚΟΡ ΑΡΣ.ULTRALINE-16 R 1/2"" 74122000";2,3213;TEMAXIA;Κανονικός
ΚΑΝ-2509044003;"ΡΑΚΟΡ ΘΗΛ.ULTRALINE-20 Rp 3/4"" 74122000";4,8521;TEMAXIA;Κανονικός
ΚΑΝ-2509044002;"ΡΑΚΟΡ ΘΗΛ.ULTRALINE-20 Rp 1/2"" 74122000";3,5625;TEMAXIA;Κανονικός
ΚΑΝ-2509044001;"ΡΑΚΟΡ ΘΗΛ.ULTRALINE-16 Rp 1/2"" 74122000";3,0628;TEMAXIA;Κανονικός
ΚΑΝ-2509042002;ΡΑΚΟΡ ΔΙΠΛΟ ULTRALINE-20 74122000;2,6114;TEMAXIA;Κανονικός
ΚΑΝ-2509042001;ΡΑΚΟΡ ΔΙΠΛΟ ULTRALINE-16 74122000;1,8054;TEMAXIA;Κανονικός
ΚΑΝ-1967267031;ΣΕΤ ΕΡΓΑΛΕΙΩΝ ULTRALINE ΜΕ ΚΕΦΑΛΕΣ 16-25 84678900;3460,3;Τεμάχια;Κανονικός
ΚΑΝ-1967267019;ΜΑΧΑΙΡΙ ΚΟΦΤΗ ΓΙΑ ΣΩΛ.ULTRALINE 14-25mm 82119400;15,6066;Τεμάχια;Κανονικός
ΚΑΝ-1967267016;ΣΕΤ ΕΡΓΑΛΕΙΟΥ ΧΕΙΡΟΣ ULTRALINE 82060000;10,478;TEMAXIA;Κανονικός
ΚΑΝ-1967267005;ΣΕΤ ΕΞΑΡΤΗΜΑΤΩΝ ΠΡΕΣΣΑΣ ULTRALINE-20;1,0478;TEMAXIA;Κανονικός
ΚΑΝ-1967267004;ΣΕΤ ΕΞΑΡΤΗΜΑΤΩΝ ΠΡΕΣΣΑΣ ULTRALINE-16;1,0478;TEMAXIA;Κανονικός
ΚΑΝ-1967267000;ΚΟΦΤΗΣ ΣΩΛΗΝΩΝ 14-25 8207999 KANTHERM;61,752;TEMAXIA;Κανονικός
ΚΑΝ-1967113005;ΚΕΦΑΛΗ ΔΙΕΥΡΥΝΣΗΣ AL ULTRALINE -20X2.8 82079099;1,0478;TEMAXIA;Κανονικός
ΚΑΝ-1967113004;ΚΕΦΑΛΗ ΔΙΕΥΡΥΝΣΗΣ AL ULTRALINE -16X2.2 82079099;1,0478;TEMAXIA;Κανονικός
ΚΑΝ-1967113002;ΚΕΦΑΛΗ ΔΙΕΥΡΥΝΣΗΣ PE ULTRALINE -20X2.8 82079099;71,1934;Τεμάχια;Κανονικός
ΚΑΝ-1967113001;ΚΕΦΑΛΗ ΔΙΕΥΡΥΝΣΗΣ PE ULTRALINE -16X2.2 82079099;71,1934;Τεμάχια;Κανονικός
ΚΑΝ-1950267002;ΕΡΓΑΛΕΙΟ TACKER ΓΙΑ ΚΛΙΠΣ 82055980;1,0478;TEMAXIA;Κανονικός
ΚΑΝ-1950254001;ΕΡΓΑΛΕΙΟ ΓΙΑ TACKER ΓΙΑ U42 KAI U55 82055980;137,0696;TEMAXIA;Κανονικός
ΚΑΝ-1948267065;"ΕΞΑΡΤΗΜΑ ""Μ"" PRESS Φ35 REMS 82073010";121,57;Τεμάχια;Κανονικός
ΚΑΝ-1928270001;ΑΠΟΡΡΙΠΤΗΣ ΣΩΛΗΝΩΝ 73269098;144,0136;TEMAXIA;Κανονικός
